BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,2696,Grade8,Grade8,ELA,ELA,4,,3,,SA,ER,False,False,3758,3758,4,4,,,SBAC-ELA-v3:ELA-Undesignated,False
187,2666,Grade4,Grade4,ELA,ELA,4,,4,,MI,MI,False,False,3754,3754,3,3,,,SBAC-ELA-v3:ELA-Undesignated,False
187,2698,Grade8,Grade8,ELA,ELA,2,,7,,WER,WER,False,False,3758,3758,4,4,,,SBAC-ELA-v3:ELA-Undesignated,False
187,3425,Grade4,Grade4,MATH,MATH,1,,L,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3547,Grade4,Grade4,MATH,MATH,3,,E,,MC,MC,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3551,Grade7,Grade7,MATH,MATH,3,,D,,MS,MS,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3308,High,High,MATH,MATH,3,,E,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3431,Grade3,Grade3,MATH,MATH,1,,A,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3549,Grade5,Grade5,MATH,MATH,3,,E,,MC,MC,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3306,Grade8,Grade8,MATH,MATH,1,,B,,MS,MS,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3429,High,High,MATH,MATH,4,,D,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,2667,Grade4,Grade4,ELA,ELA,2,,4,,WER,WER,False,False,3754,3754,4,4,,,SBAC-ELA-v3:ELA-Undesignated,False
187,3427,High,High,MATH,MATH,4,,E,,EQ,EQ,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,2695,Grade8,Grade8,ELA,ELA,4,,2,,SA,ER,False,False,3758,3758,4,4,,,SBAC-ELA-v3:ELA-Undesignated,False
187,2697,Grade8,Grade8,ELA,ELA,4,,4,,MI,MI,False,False,3758,3758,3,3,,,SBAC-ELA-v3:ELA-Undesignated,False
187,3433,Grade5,Grade5,MATH,MATH,1,,D,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3555,Grade8,Grade8,MATH,MATH,2,,D,,TI,TI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3310,Grade5,Grade5,MATH,MATH,1,,C,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3316,Grade8,Grade8,MATH,MATH,1,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3312,Grade8,Grade8,MATH,MATH,1,,A,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3437,Grade4,Grade4,MATH,MATH,1,,I,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3553,Grade8,Grade8,MATH,MATH,3,,D,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3435,Grade4,Grade4,MATH,MATH,1,,K,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3318,High,High,MATH,MATH,4,,F,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3559,Grade8,Grade8,MATH,MATH,3,,B,,SA,SA,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
